rank,feature,coefficient,abs_coef,importance,importance_pct
1,population,212.68206676479693,212.68206676479693,0.5988916937090955,59.889
2,population_density,68.0698809619453,68.0698809619453,0.19167806162500386,19.168
3,pollution_index,-30.44349784218283,30.44349784218283,0.08572588306327236,8.573
4,location_enc,-17.00024512883789,17.00024512883789,0.04787101119314837,4.787
5,zone_enc,-7.843484072359969,7.843484072359969,0.022086476458171633,2.209
6,humidity,5.429143368710989,5.429143368710989,0.015287931497640544,1.529
7,weather_condition_enc,-4.895975031018174,4.895975031018174,0.013786582118964275,1.379
8,temperature,4.679724115912547,4.679724115912547,0.013177640900817399,1.318
9,sector_enc,2.311608935033733,2.311608935033733,0.006509262446778973,0.651
10,month,0.8800734402993333,0.8800734402993333,0.0024781998843002523,0.248
11,year,0.37897594380534616,0.37897594380534616,0.0010671588268492134,0.107
12,season_enc,-0.2878105274609002,0.2878105274609002,0.000810446018699762,0.081
13,day_of_week,-0.11389491788496327,0.11389491788496327,0.00032071683952750743,0.032
14,is_weekend,0.10971102760300835,0.10971102760300835,0.0003089354177303231,0.031
