feature,importance,rank,importance_pct
population,0.5628329256328926,1,56.283
population_density,0.21840399767465182,2,21.84
sector_enc,0.1062508112072655,3,10.625
location_enc,0.08649916296770707,4,8.65
pollution_index,0.02202319974824145,5,2.202
humidity,0.0012515301926294155,6,0.125
temperature,0.0010790368108014711,7,0.108
zone_enc,0.0010550045064864088,8,0.106
weather_condition_enc,0.00021588865675236548,9,0.022
month,0.00013756055293189285,10,0.014
day_of_week,0.00010844740826768446,11,0.011
season_enc,8.996055265300651e-05,12,0.009
year,3.145176310385324e-05,13,0.003
is_weekend,2.1022325615603104e-05,14,0.002
